order_id,customer_id,product,quantity,price,order_date
10000,82,Laptop,1,895.03,2024-07-28
10001,32,Mouse,2,889.04,2025-06-30
10002,87,Monitor,1,716.78,2026-04-03
10003,5,Laptop,1,277.99,2025-05-20
10004,65,Monitor,1,682.27,2024-07-02
10005,92,Monitor,4,280.12,2025-09-13
10006,76,Keyboard,1,915.39,2025-09-09
10007,21,Headphones,3,347.89,2024-08-15
10008,28,Keyboard,1,129.44,2024-09-28
10009,13,Keyboard,3,732.4,2026-05-08
10010,6,Headphones,5,167.29,2025-05-05
10011,49,Laptop,5,365.95,2024-09-07
10012,81,Monitor,3,701.28,2025-03-16
10013,91,Laptop,1,800.29,2025-09-05
10014,99,Keyboard,1,1029.27,2025-01-01
10015,13,Headphones,3,555.02,2026-02-12
10016,47,Mouse,3,439.22,2025-01-11
10017,86,Keyboard,1,738.77,2025-04-02
10018,22,Monitor,2,212.81,2025-07-25
10019,49,Keyboard,5,279.15,2025-09-27
10020,42,Laptop,2,989.73,2025-02-19
10021,41,Headphones,3,98.1,2025-12-20
10022,73,Keyboard,2,793.42,2025-04-23
10023,51,Headphones,2,332.56,2025-12-01
10024,32,Monitor,5,330.04,2026-03-01
10025,75,Headphones,5,491.29,2025-04-18
10026,29,Mouse,5,602.35,2024-06-24
10027,97,Laptop,1,200.35,2025-02-07
10028,21,Headphones,5,94.96,2025-09-21
10029,49,Monitor,4,644.35,2026-01-09
10030,71,Laptop,1,824.42,2026-04-23
10031,69,Keyboard,3,151.63,2026-06-06
10032,56,Mouse,4,23.83,2025-11-13
10033,93,Keyboard,5,919.12,2025-12-04
10034,65,Laptop,3,1013.17,2024-11-11
10035,65,Monitor,2,200.35,2024-11-14
10036,98,Mouse,5,1145.13,2024-07-28
10037,68,Laptop,5,402.5,2025-12-06
10038,3,Laptop,3,1056.89,2024-12-14
10039,40,Mouse,1,304.23,2026-06-10
10040,73,Laptop,1,883.65,2025-01-14
10041,9,Monitor,2,171.5,2024-07-15
10042,61,Monitor,2,332.77,2025-10-30
10043,78,Headphones,2,1116.12,2024-12-12
10044,97,Mouse,3,490.81,2025-06-21
10045,86,Keyboard,4,1081.54,2025-06-17
10046,58,Laptop,2,285.14,2024-10-25
10047,44,Laptop,5,673.63,2024-10-03
10048,76,Mouse,1,103.77,2026-04-02
10049,81,Laptop,2,99.53,2025-12-10
10050,5,Keyboard,1,626.7,2026-05-30
10051,36,Headphones,2,656.3,2024-12-22
10052,93,Monitor,5,577.75,2025-07-25
10053,61,Headphones,2,131.3,2025-05-25
10054,85,Headphones,3,519.82,2024-10-19
10055,60,Laptop,1,91.52,2025-09-21
10056,94,Keyboard,1,313.41,2025-05-21
10057,25,Monitor,4,185.42,2026-06-16
