sale_number,cust_key,item_name,qty,unit_price,purchase_date
S1,CUST62,Tablet,3,850.28,2024-08-23
S2,CUST70,Speaker,4,1402.64,2025-04-17
S3,CUST112,Phone,2,879.11,2026-05-02
S4,CUST30,Speaker,1,511.36,2024-11-18
S5,CUST61,Speaker,4,1483.2,2026-03-11
S6,CUST102,Phone,4,1449.0,2026-06-06
S7,CUST17,Camera,3,1311.07,2025-11-15
S8,CUST112,Speaker,1,812.63,2024-06-28
S9,CUST59,TV,2,644.47,2026-06-19
S10,CUST84,Phone,1,730.76,2025-01-20
S11,CUST34,Tablet,4,992.26,2025-05-08
S12,CUST110,Tablet,4,1433.5,2024-09-12
S13,CUST81,Speaker,1,945.32,2024-09-26
S14,CUST31,Tablet,2,1132.81,2024-09-24
S15,CUST56,TV,1,693.33,2026-02-03
S16,CUST89,Tablet,1,116.69,2025-04-25
S17,CUST102,TV,3,569.77,2025-05-16
S18,CUST56,Phone,2,820.19,2026-05-07
S19,CUST73,Phone,2,303.85,2025-01-19
S20,CUST79,Speaker,2,771.62,2024-11-01
S21,CUST75,Phone,2,718.67,2025-10-16
S22,CUST33,Speaker,3,1016.92,2024-09-24
S23,CUST116,Speaker,3,1032.54,2026-04-05
S24,CUST21,TV,4,1420.59,2026-01-15
S25,CUST76,Tablet,4,1050.95,2025-11-13
S26,CUST59,Tablet,2,1499.09,2025-09-18
S27,CUST110,Speaker,1,393.95,2025-11-07
S28,CUST74,Tablet,3,1489.4,2024-08-26
S29,CUST38,TV,4,448.0,2025-07-18
S30,CUST73,TV,4,1257.62,2024-06-27
S31,CUST116,Tablet,2,930.24,2024-09-25
S32,CUST46,Phone,2,950.29,2025-05-22
S33,CUST87,Phone,1,1359.94,2025-11-11
S34,CUST83,TV,3,1193.49,2026-02-02
S35,CUST5,Camera,3,1111.92,2025-04-07
S36,CUST12,Tablet,3,1133.85,2024-09-03
S37,CUST23,Phone,2,1190.44,2025-04-24
S38,CUST113,Tablet,3,1254.19,2025-01-03
S39,CUST33,Speaker,3,1132.51,2024-12-21
S40,CUST44,TV,4,1446.2,2026-06-22
S41,CUST19,Phone,4,1452.54,2025-10-15
S42,CUST103,Camera,3,180.94,2025-05-17
S43,CUST51,TV,3,828.03,2024-12-30
S44,CUST59,Tablet,3,897.61,2024-10-28
S45,CUST106,Tablet,1,1028.51,2025-08-02
S46,CUST61,TV,3,1377.12,2025-09-01
S47,CUST29,TV,4,1368.61,2025-07-21
S48,CUST39,Speaker,1,252.68,2025-07-04
S49,CUST5,Tablet,4,218.37,2024-08-14
S50,CUST31,Camera,2,613.54,2025-03-22
S51,CUST48,Camera,4,901.64,2025-08-18
S52,CUST94,Phone,4,999.64,2025-08-26
S53,CUST107,Speaker,4,1411.63,2025-01-16
S54,CUST36,TV,3,365.04,2025-07-11
S55,CUST57,Phone,3,194.06,2026-04-17
S56,CUST88,Tablet,3,137.8,2024-12-13
S57,CUST36,Phone,1,1426.07,2026-06-19
S58,CUST106,Speaker,1,1011.01,2024-11-19
S59,CUST83,Camera,1,123.34,2025-02-02
S60,CUST43,Phone,2,1191.12,2025-03-04
S61,CUST27,TV,2,900.26,2026-06-15
S62,CUST105,Phone,3,1172.83,2024-11-25
S63,CUST101,Camera,1,452.05,2025-07-25
S64,CUST19,Phone,3,1207.85,2025-08-07
S65,CUST15,TV,2,71.55,2025-01-17
S66,CUST102,Phone,3,72.88,2024-10-09
S67,CUST34,TV,2,1125.49,2026-06-10
S68,CUST68,TV,1,740.56,2026-06-06
S69,CUST100,Tablet,1,705.41,2025-07-31
S70,CUST29,Camera,1,1104.5,2025-01-01
S71,CUST117,Camera,3,714.16,2026-06-06
S72,CUST4,TV,4,1278.58,2024-11-10
S73,CUST55,TV,4,1082.98,2026-04-25
S74,CUST57,TV,1,517.06,2024-11-28
S75,CUST19,TV,2,448.77,2026-03-26
S76,CUST82,Camera,3,602.31,2025-08-28
S77,CUST77,Camera,3,707.89,2026-03-30
S78,CUST78,Speaker,1,1199.99,2026-05-11
S79,CUST15,Camera,2,673.6,2024-09-05
S80,CUST114,Phone,4,541.45,2024-12-08
S81,CUST59,Speaker,4,1107.94,2026-02-23
S82,CUST41,Speaker,3,1014.41,2025-03-12
S83,CUST48,Phone,4,147.34,2025-07-07
S84,CUST107,TV,1,676.22,2025-12-04
S85,CUST96,Tablet,2,856.74,2024-07-04
S86,CUST76,Camera,3,1021.52,2025-09-27
S87,CUST53,Tablet,4,1308.73,2026-03-12
S88,CUST93,TV,3,920.59,2025-02-01
S89,CUST46,TV,2,274.36,2025-01-29
S90,CUST62,Phone,1,557.67,2025-11-13
S91,CUST72,Tablet,1,1155.78,2025-10-29
S92,CUST74,Phone,4,1275.47,2026-01-10
S93,CUST99,Camera,1,933.04,2025-02-24
S94,CUST85,Tablet,1,311.6,2025-11-20
S95,CUST90,Tablet,3,558.98,2026-05-15
S96,CUST24,Phone,4,150.9,2024-09-15
S97,CUST95,TV,1,1131.86,2025-09-23
S98,CUST28,Speaker,4,707.79,2024-11-26
S99,CUST21,Tablet,3,1096.31,2026-03-12
S100,CUST100,Camera,1,1330.85,2024-08-18
S101,CUST20,Phone,1,1027.25,2025-07-19
S102,CUST35,Speaker,4,754.21,2025-09-19
S103,CUST57,Speaker,3,362.57,2025-10-19
S104,CUST66,TV,3,673.37,2025-10-13
S105,CUST37,Camera,4,814.05,2025-07-06
S106,CUST40,TV,2,623.13,2024-08-31
S107,CUST77,TV,1,346.41,2025-09-29
S108,CUST28,Phone,3,469.7,2024-08-05
S109,CUST16,TV,4,1133.17,2025-04-13
S110,CUST23,Phone,4,822.24,2026-05-09
S111,CUST30,Camera,3,154.51,2025-03-27
S112,CUST111,TV,4,77.18,2024-11-23
S113,CUST118,TV,3,884.85,2024-10-31
S114,CUST74,Speaker,4,469.8,2025-06-03
S115,CUST52,TV,3,299.22,2025-07-12
S116,CUST80,Speaker,3,177.79,2026-01-01
S117,CUST109,TV,2,681.73,2026-06-12
S118,CUST52,Camera,1,623.86,2025-09-29
S119,CUST40,Tablet,2,532.95,2026-05-31
