transaction_id,member_id,points_earned,tier,activity_date
T1,M90,149,Silver,2025-03-04
T2,M14,325,Silver,2025-10-20
T3,M32,35,Silver,2026-02-24
T4,M82,129,Bronze,2025-10-10
T5,M13,221,Gold,2026-06-01
T6,M61,61,Silver,2025-04-30
T7,M1,291,Silver,2024-07-17
T8,M53,344,Platinum,2026-01-02
T9,M62,343,Silver,2026-02-18
T10,M37,174,Gold,2024-09-02
T11,M83,40,Bronze,2024-12-03
T12,M84,303,Silver,2026-05-18
T13,M69,388,Bronze,2025-02-08
T14,M23,223,Silver,2024-09-03
T15,M5,438,Platinum,2025-05-14
T16,M64,105,Gold,2025-04-20
T17,M5,14,Gold,2025-11-21
T18,M73,318,Bronze,2025-07-05
T19,M43,155,Platinum,2025-03-11
T20,M83,288,Platinum,2025-01-11
T21,M18,445,Platinum,2026-05-17
T22,M35,108,Bronze,2025-10-31
T23,M43,93,Platinum,2025-01-23
T24,M83,141,Silver,2025-09-08
T25,M2,387,Gold,2024-10-13
T26,M38,300,Silver,2026-05-27
T27,M23,322,Platinum,2026-05-26
T28,M55,273,Gold,2024-12-01
T29,M12,215,Bronze,2025-07-28
T30,M24,81,Platinum,2025-05-19
T31,M42,489,Silver,2026-03-03
T32,M1,143,Platinum,2025-09-09
T33,M31,238,Gold,2025-06-14
T34,M43,164,Bronze,2024-10-21
T35,M34,344,Gold,2024-11-06
T36,M89,130,Bronze,2026-05-08
T37,M86,70,Platinum,2025-04-25
T38,M40,91,Platinum,2025-09-03
T39,M88,267,Gold,2024-11-30
T40,M89,70,Gold,2025-12-25
T41,M48,324,Silver,2025-09-03
T42,M29,500,Silver,2025-02-25
T43,M62,88,Platinum,2024-12-12
T44,M78,201,Platinum,2025-03-23
T45,M90,291,Platinum,2025-07-12
T46,M69,420,Silver,2024-10-03
T47,M32,358,Bronze,2026-01-15
T48,M68,238,Gold,2026-05-13
T49,M10,479,Bronze,2025-10-14
T50,M8,434,Silver,2026-02-03
T51,M74,284,Silver,2025-10-28
T52,M22,177,Platinum,2024-09-19
T53,M15,358,Silver,2026-04-05
T54,M75,260,Bronze,2026-01-25
T55,M66,238,Bronze,2024-12-01
T56,M59,77,Platinum,2025-09-22
T57,M59,298,Bronze,2026-05-18
T58,M72,246,Gold,2026-04-22
T59,M3,212,Gold,2025-11-28
T60,M1,391,Silver,2025-07-03
T61,M75,47,Bronze,2024-11-05
T62,M55,186,Bronze,2024-07-10
T63,M70,40,Bronze,2025-07-21
T64,M61,26,Gold,2026-05-13
T65,M53,102,Silver,2024-12-30
T66,M83,383,Platinum,2025-10-22
T67,M48,466,Platinum,2025-08-17
T68,M58,455,Platinum,2025-01-01
T69,M49,51,Silver,2025-07-01
T70,M84,450,Gold,2026-06-11
T71,M16,101,Platinum,2026-01-12
T72,M68,75,Silver,2025-04-07
T73,M1,397,Bronze,2025-04-03
T74,M39,247,Platinum,2025-08-11
T75,M69,204,Silver,2024-08-07
T76,M32,245,Gold,2025-09-09
T77,M20,151,Silver,2026-03-25
T78,M15,26,Platinum,2024-07-17
T79,M79,402,Bronze,2025-10-04
T80,M31,115,Bronze,2025-08-05
T81,M13,314,Bronze,2026-04-21
T82,M58,316,Bronze,2025-10-25
T83,M32,389,Bronze,2024-10-03
T84,M52,234,Silver,2025-03-05
T85,M70,121,Bronze,2024-10-01
T86,M18,267,Gold,2024-10-17
T87,M30,427,Gold,2025-12-09
T88,M74,316,Gold,2024-08-15
T89,M31,164,Silver,2025-03-02
T90,M85,276,Silver,2025-02-23
T91,M53,163,Gold,2025-01-06
T92,M8,295,Silver,2026-06-23
T93,M81,357,Platinum,2024-08-26
T94,M72,263,Bronze,2026-03-06
T95,M45,492,Platinum,2026-04-05
T96,M68,173,Platinum,2026-01-23
T97,M53,86,Gold,2025-12-16
T98,M49,104,Platinum,2025-10-08
T99,M31,444,Silver,2025-02-27
T100,M39,449,Silver,2026-04-27
T101,M60,478,Bronze,2025-07-20
T102,M72,221,Platinum,2024-10-26
T103,M72,281,Silver,2024-07-23
T104,M50,134,Gold,2026-03-10
T105,M27,179,Bronze,2026-06-23
T106,M58,443,Gold,2026-01-15
T107,M12,284,Silver,2024-10-07
T108,M7,147,Platinum,2026-02-01
T109,M87,319,Bronze,2025-11-06
T110,M10,106,Silver,2026-06-03
T111,M62,116,Gold,2026-06-10
T112,M39,499,Bronze,2025-06-02
T113,M28,489,Silver,2026-04-13
T114,M16,392,Platinum,2024-09-10
T115,M32,366,Silver,2026-06-04
T116,M51,478,Silver,2024-07-12
T117,M71,174,Gold,2024-10-11
T118,M49,248,Gold,2024-10-18
T119,M40,143,Gold,2026-01-06
T120,M66,461,Platinum,2026-05-27
T121,M60,60,Platinum,2024-12-15
T122,M41,478,Silver,2024-11-26
T123,M48,170,Platinum,2025-11-08
T124,M6,298,Silver,2025-09-20
T125,M19,18,Gold,2025-11-08
T126,M71,488,Platinum,2026-03-18
T127,M38,88,Silver,2025-05-15
T128,M43,127,Platinum,2026-04-13
T129,M73,436,Silver,2024-07-20
T130,M64,291,Gold,2024-07-24
T131,M33,400,Platinum,2026-04-24
T132,M83,388,Platinum,2026-03-24
T133,M59,96,Gold,2026-04-27
T134,M22,81,Platinum,2026-05-11
T135,M24,479,Bronze,2025-06-20
T136,M68,27,Bronze,2025-07-29
T137,M86,34,Bronze,2025-08-30
T138,M53,80,Silver,2025-03-05
T139,M9,372,Silver,2024-09-18
T140,M2,121,Platinum,2025-05-25
T141,M48,40,Platinum,2025-03-13
T142,M85,259,Bronze,2024-11-21
T143,M1,282,Platinum,2025-05-16
T144,M2,18,Gold,2025-11-02
T145,M69,156,Bronze,2025-01-25
T146,M65,426,Platinum,2024-12-18
T147,M23,64,Bronze,2026-02-15
T148,M68,86,Silver,2024-11-21
T149,M25,327,Gold,2025-09-25
T150,M46,146,Platinum,2025-10-07
T151,M11,201,Platinum,2024-07-19
T152,M59,299,Silver,2025-12-04
T153,M90,125,Gold,2026-03-28
T154,M88,433,Bronze,2024-09-08
T155,M84,449,Bronze,2025-04-01
T156,M12,217,Platinum,2025-03-14
T157,M49,292,Platinum,2024-10-08
T158,M8,336,Bronze,2025-08-23
T159,M90,97,Bronze,2025-06-01
T160,M64,442,Platinum,2025-03-09
T161,M83,411,Gold,2025-02-06
T162,M73,449,Bronze,2026-06-20
T163,M68,480,Bronze,2026-01-30
T164,M30,118,Platinum,2025-11-01
T165,M35,33,Bronze,2024-09-27
T166,M88,483,Gold,2026-01-04
T167,M70,298,Bronze,2026-01-16
T168,M23,485,Gold,2024-12-27
T169,M3,116,Silver,2024-11-01
T170,M51,485,Bronze,2024-11-11
T171,M39,93,Silver,2026-04-15
T172,M73,437,Platinum,2025-06-26
T173,M87,469,Gold,2024-07-24
T174,M50,396,Silver,2025-08-20
T175,M89,380,Bronze,2026-02-06
T176,M65,391,Gold,2024-12-26
